Ligand,Binding Affinity,Binding Affinity,Binding Affinity,Mean,Standard Deviation
HDAC7_LMK-235,-7.2,-7.2,-7,-7.133333333,0.115470054
HDAC7_MC1568,-7.8,-7.8,-7.7,-7.766666667,0.057735027
HDAC7_PCI-34051,-8.1,-8.1,-8.1,-8.1,0
HDAC7_RGFP996,-8.8,-8.8,-8.8,-8.8,0
HDAC7_Ricolinostat,-8,-8,-7.8,-7.933333333,0.115470054
HDAC7_TMP195,-9,-9,-9.3,-9.1,0.173205081
HDAC7_Tubacin,-11.2,-11.2,-11.5,-11.3,0.173205081
HDAC7_ligand_1,-4.9,-4.9,-4.8,-4.866666667,0.057735027
HDAC7_ligand_10,-4.8,-4.8,-4.4,-4.666666667,0.230940108
HDAC7_ligand_11,-4.5,-4.5,-4.5,-4.5,0
HDAC7_ligand_12,-8.4,-8.4,-8.9,-8.566666667,0.288675135
HDAC7_ligand_13,-6.6,-6.6,-6.5,-6.566666667,0.057735027
HDAC7_ligand_14,-5.6,-5.6,-5.6,-5.6,1.08779E-15
HDAC7_ligand_15,-5.1,-5.1,-5.1,-5.1,0
HDAC7_ligand_16,-7.3,-7.3,-7.3,-7.3,0
HDAC7_ligand_17,-6.5,-6.5,-6.4,-6.466666667,0.057735027
HDAC7_ligand_18,-7.1,-7.1,-7,-7.066666667,0.057735027
HDAC7_ligand_19,-5.1,-5.1,-5.1,-5.1,0
HDAC7_ligand_2,-4.6,-4.6,-4.5,-4.566666667,0.057735027
HDAC7_ligand_20,-5.5,-5.5,-5.5,-5.5,0
HDAC7_ligand_21,-8.1,-8.1,-7.9,-8.033333333,0.115470054
HDAC7_ligand_22,-6,-6,-5.8,-5.933333333,0.115470054
HDAC7_ligand_23,-5.2,-5.2,-5.4,-5.266666667,0.115470054
HDAC7_ligand_24,-6.3,-6.3,-6.3,-6.3,0
HDAC7_ligand_25,-5.3,-5.3,-5.1,-5.233333333,0.115470054
HDAC7_ligand_26,-5.6,-5.6,-5.7,-5.633333333,0.057735027
HDAC7_ligand_27,-5.4,-5.4,-5.2,-5.333333333,0.115470054
HDAC7_ligand_28,-6.9,-6.9,-6.9,-6.9,1.08779E-15
HDAC7_ligand_29,-7.7,-7.7,-7.5,-7.633333333,0.115470054
HDAC7_ligand_3,-5.5,-5.5,-5.3,-5.433333333,0.115470054
HDAC7_ligand_30,-5.5,-5.5,-5.3,-5.433333333,0.115470054
HDAC7_ligand_31,-7.5,-7.5,-8.2,-7.733333333,0.404145188
HDAC7_ligand_32,-5.5,-5.5,-5.2,-5.4,0.173205081
HDAC7_ligand_33,-7,-7,-7,-7,0
HDAC7_ligand_34,-5.8,-5.8,-5.8,-5.8,0
HDAC7_ligand_35,-7.6,-7.6,-7.7,-7.633333333,0.057735027
HDAC7_ligand_36,-7.5,-7.5,-7.8,-7.6,0.173205081
HDAC7_ligand_37,-7.3,-7.3,-7.4,-7.333333333,0.057735027
HDAC7_ligand_38,-8.2,-8.2,-8.2,-8.2,0
HDAC7_ligand_39,-9.2,-9.2,-9,-9.133333333,0.115470054
HDAC7_ligand_4,-5.2,-5.2,-5.2,-5.2,0
HDAC7_ligand_40,-7.2,-7.2,-7.2,-7.2,0
HDAC7_ligand_41,-7.4,-7.4,-7.6,-7.466666667,0.115470054
HDAC7_ligand_42,-6.7,-6.7,-6,-6.466666667,0.404145188
HDAC7_ligand_43,-6.5,-6.5,-6.4,-6.466666667,0.057735027
HDAC7_ligand_44,-5.9,-5.9,-6.5,-6.1,0.346410162
HDAC7_ligand_45,-6.8,-6.8,-6.5,-6.7,0.173205081
HDAC7_ligand_46,-6.2,-6.2,-6.2,-6.2,0
HDAC7_ligand_47,-7.2,-7.2,-6.8,-7.066666667,0.230940108
HDAC7_ligand_48,-7.3,-7.3,-7.4,-7.333333333,0.057735027
HDAC7_ligand_49,-6.8,-6.8,-6.9,-6.833333333,0.057735027
HDAC7_ligand_5,-5.4,-5.4,-5.4,-5.4,1.08779E-15
HDAC7_ligand_50,-6.5,-6.5,-6.5,-6.5,0
HDAC7_ligand_6,-4.2,-4.2,-4.5,-4.3,0.173205081
HDAC7_ligand_7,-5.7,-5.7,-5.4,-5.6,0.173205081
HDAC7_ligand_8,-5.4,-5.4,-5.4,-5.4,1.08779E-15
HDAC7_ligand_9,-5.5,-5.5,-5.9,-5.633333333,0.230940108
HDAC7_romidepsin,-7.8,-7.8,-8.1,-7.9,0.173205081
HDAC7_santacruzamate_A,-6,-6,-6.6,-6.2,0.346410162
HDAC7_trichostatin_A,-7.2,-7.2,-7.4,-7.266666667,0.115470054
HDAC7_vorinostat,-6.3,-6.3,-6.5,-6.366666667,0.115470054
